1,1,28.81
1,2,61.7
1,3,64.85
1,4,38.36
1,5,10.66
1,6,53.34
1,7,9.67
1,8,54.08
1,9,75.7
1,10,33.05
2,1,54.61
2,2,74.28
2,3,88.66
2,4,34.23
2,5,67.7
2,6,34.09
2,7,53.24
2,8,93.29
2,9,94.32
2,10,30.58
3,1,45.6
3,2,91.5
3,3,77.67
3,4,19.14
3,5,81.31
3,6,89.15
3,7,37.88
3,8,60.61
3,9,83.85
3,10,54.95
4,1,21.3
4,2,20.72
4,3,66.75
4,4,90.17
4,5,75.54
4,6,27.62
4,7,43.02
4,8,96.47
4,9,95.73
4,10,1.45
5,1,68.63
5,2,92.63
5,3,97.61
5,4,67.17
5,5,80.14
5,6,57.06
5,7,72.98
5,8,42.77
5,9,6.78
5,10,79.89
6,1,60.69
6,2,69.12
6,3,56.01
6,4,1.99
6,5,3.88
6,6,55.7
6,7,65.86
6,8,39.9
6,9,19.36
6,10,71.9
7,1,14.18
7,2,17.81
7,3,16.79
7,4,92.87
7,5,4.02
7,6,39.32
7,7,70.29
7,8,80.29
7,9,25.03
7,10,94.17
8,1,32.93
8,2,67.54
8,3,40.13
8,4,93.97
8,5,1.8
8,6,90.35
8,7,25.82
8,8,56.35
8,9,48.14
8,10,0.49
9,1,59.9
9,2,64.58
9,3,72.53
9,4,17.09
9,5,27.05
9,6,26.34
9,7,59.29
9,8,63.39
9,9,7.51
9,10,67.8
10,1,77.22
10,2,89.02
10,3,71.85
10,4,26.09
10,5,64.29
10,6,12.31
10,7,2.21
10,8,78.18
10,9,96.14
10,10,30.73
