1	1	97.47
1	2	180.41
1	3	174.8
1	4	214.62
1	5	61.98
1	6	176.94
1	7	187.72
1	8	151.7
1	9	261.11
1	10	211.04
2	1	203.53
2	2	334.39
2	3	298.57
2	4	141.81
2	5	165.91
2	6	145.24
2	7	259.13
2	8	286.22
2	9	302.99
2	10	143.5
3	1	277.52
3	2	295.97
3	3	215.03
3	4	124.1
3	5	186.23
3	6	311.7
3	7	171.93
3	8	232.98
3	9	272.32
3	10	263.27
4	1	204.34
4	2	78.58
4	3	156.73
4	4	302.37
4	5	262.75
4	6	115.46
4	7	171.5
4	8	330.91
4	9	278.55
4	10	167.26
5	1	246.38
5	2	271.63
5	3	291.02
5	4	168.55
5	5	313.36
5	6	183.58
5	7	294.85
5	8	141.35
5	9	103.82
5	10	242.35
6	1	160.68
6	2	228.69
6	3	222.48
6	4	103.91
6	5	87.24
6	6	197.34
6	7	248.53
6	8	250.49
6	9	121.61
6	10	229.03
7	1	155.93
7	2	68.74
7	3	175.18
7	4	310.34
7	5	145.54
7	6	167.5
7	7	258.04
7	8	240.62
7	9	116.98
7	10	315.6
8	1	162.94
8	2	235.28
8	3	230.46
8	4	245.92
8	5	62.77
8	6	255.52
8	7	98.91
8	8	238.29
8	9	246.44
8	10	119.04
9	1	237.1
9	2	253.39
9	3	225.96
9	4	107.73
9	5	128.54
9	6	89.84
9	7	184.69
9	8	232.44
9	9	121.23
9	10	293.86
10	1	340.19
10	2	299.54
10	3	262.59
10	4	146.13
10	5	272.16
10	6	182.97
10	7	54.31
10	8	242.51
10	9	323.24
10	10	149.37
